date;Volume;BS_flow_[m3/d];TS_BS_[gTS/L];VS_BS_[gVS/gTS];PS_flow_[m3/d];TS_PS_[gTS/L];VS_PS_[gVS/gTS];VSR
2016-03-21;120000.0;1789.2666666666669;43.11187051744234;0.7981801160264352;2195.333333333333;79.58333333333333;0.7383000000000001;56.55850441039486
2016-03-22;120000.0;1786.2666666666669;43.2656622979162;0.7888908532351502;2202.5;79.25666666666666;0.7379333333333334;56.571302114047405
2016-03-23;120000.0;1797.7333333333331;43.40298723331672;0.8090939803885397;2204.0;79.14333333333335;0.7386666666666667;56.57119384377565
2016-03-24;120000.0;1808.8;43.40763021355653;0.8026698525986374;2198.333333333333;79.6;0.7390666666666666;56.57702367490587
2016-03-25;120000.0;1819.6;43.4151406812766;0.8314115118656684;2189.333333333333;79.57999999999998;0.7401666666666668;56.584087085125255
2016-03-26;120000.0;1822.2;43.49839089448489;0.8309846494726979;2162.6666666666665;79.81333333333332;0.7406333333333334;56.61567186448875
2016-03-27;120000.0;1825.5333333333333;43.50947717436319;0.8255402778674357;2160.5;78.59333333333332;0.7441;56.64559328619609
2016-03-28;120000.0;1824.6666666666667;43.564017608694506;0.8220815359377848;2161.1666666666665;77.99666666666667;0.7438;56.64195273370073
2016-03-29;120000.0;1829.0;43.70260004533647;0.8191603645392391;2160.333333333333;78.42333333333335;0.7444333333333333;56.56243856907165
2016-03-30;120000.0;1831.4;43.81184919414689;0.8290840294285258;2167.0;78.39333333333333;0.7445;56.47047616878495
2016-03-31;120000.0;1845.5333333333333;43.81796444364568;0.8383034608697826;2169.0;78.27;0.7378666666666667;56.435365204445766
2016-04-01;120000.0;1859.1333333333332;43.821155290233065;0.8327573004889879;2182.6666666666665;78.52;0.7375;56.44123101704454
2016-04-02;120000.0;1865.7333333333331;43.8038748259732;0.8258748577698826;2187.6666666666665;78.76333333333332;0.7380333333333333;56.43883211049816
2016-04-03;120000.0;1871.4666666666667;43.79302263894454;0.8199860462081323;2187.1666666666665;79.34333333333333;0.7381;56.42229435404191
2016-04-04;120000.0;1880.5333333333333;43.9016446471402;0.8330652866431739;2183.333333333333;79.01666666666667;0.7392000000000001;56.44354898089319
2016-04-05;120000.0;1887.9333333333332;43.91645046054385;0.823690490538749;2188.833333333333;78.62000000000002;0.7390666666666666;56.47242510659571
