plant,date,VS_PS[%],T_ww[degC],HRT_AD[day],SRT_AS[day],m_PS[%],VSR_[%]
Dig5,2016-01-03,0.8087938991076662,16.805583000000027,19.103783663242027,0.0,1.0,57.13649540571536
Dig5,2016-01-04,0.807730879809838,16.749942666666694,19.006374653608752,0.0,1.0,57.14932410316384
Dig5,2016-01-05,0.8070957215856338,16.70128100000003,18.85107392778468,0.0,1.0,57.1844218025656
Dig5,2016-01-06,0.8062561264410861,16.656856666666695,23.16704386759092,0.0,1.0,57.18941316499256
Dig5,2016-01-07,0.8057814399905171,16.607330000000026,22.94941638775749,0.0,1.0,57.18334269696629
Dig5,2016-01-08,0.8065165487949464,16.57930633333336,22.815933652537773,0.0,1.0,57.16825705104552
Dig5,2016-01-09,0.8064318957413579,16.54293500000003,22.812249177368084,0.0,1.0,57.18788023851675
Dig5,2016-01-10,0.8058074109019829,16.45813800000003,22.86942310731092,0.0,1.0,57.226515446181146
Dig5,2016-01-11,0.804932801652176,16.373194333333362,22.89614929708984,0.0,1.0,57.28395017823628
Dig5,2016-01-12,0.8038418318185484,16.320413333333363,22.8939094558368,0.0,1.0,57.35078752262938
Dig5,2016-01-13,0.8015936327421015,16.283018333333363,22.707468311415354,0.0,1.0,57.459940138480654
Dig5,2016-01-14,0.7997603037391535,16.249374666666696,22.659755916983627,0.0,1.0,57.5814524073152
Dig5,2016-01-15,0.7990386421197848,16.219092333333364,22.561563182954192,0.0,1.0,57.68782859155565
Dig5,2016-01-16,0.7993132857335865,16.160970333333363,22.48647560957997,0.0,1.0,57.77023546951106
Dig5,2016-01-17,0.7984913461246992,16.10447200000003,22.57479012570224,0.0,1.0,57.8516498929488
Dig5,2016-01-18,0.7982480167307909,16.032745666666695,22.663586383584608,0.0,1.0,57.94808340037024
Dig5,2016-01-19,0.7975939211429449,15.952376000000026,22.661521784336795,0.0,1.0,58.02150307321732
Dig5,2016-01-20,0.7956819955468463,15.868132000000028,19.150636424821187,0.0,1.0,58.14101953287376
Dig5,2016-01-21,0.7946651498019602,15.782832666666696,19.55449105825563,0.0,1.0,58.23825728805029
Dig5,2016-01-22,0.7925993861653696,15.675240000000027,19.85663403577926,0.0,1.0,58.31535170454325
Dig5,2016-01-23,0.7898956473387977,15.579358666666694,20.043702645267576,0.0,1.0,58.331082246699246
Dig5,2016-01-24,0.7877711609574951,15.512244000000027,20.366653427686185,0.0,1.0,58.371114493533724
Dig5,2016-01-25,0.7866422399754265,15.429602000000026,20.70641480152042,0.0,1.0,58.424743393346326
Dig5,2016-01-26,0.7856790433597555,15.346661666666693,21.04930913375696,0.0,1.0,58.49478156197191
Dig5,2016-01-27,0.7847630145154424,15.266891666666693,21.419440471100955,0.0,1.0,58.54234975965508
Dig5,2016-01-28,0.7832703981195017,15.190917000000024,21.813954350350144,0.0,1.0,58.556801061237344
Dig5,2016-01-29,0.782058892172537,15.127019000000024,22.23661064499872,0.0,1.0,58.554271316919134
Dig5,2016-01-30,0.780644278761779,15.026667000000025,22.54214349812112,0.0,1.0,58.54522198517936
Dig5,2016-01-31,0.7780875076775098,14.944090666666687,22.770626702203987,0.0,1.0,58.56558785255229
Dig5,2016-02-01,0.7753388690864965,14.886641000000024,23.11726288265212,0.0,1.0,58.56510126771792
Dig5,2016-02-02,0.7733872226735483,14.878736000000025,23.175642740878267,0.0,1.0,58.54950398051543
Dig5,2016-02-03,0.7722339332057668,14.845420000000024,23.46282404885136,0.0,1.0,58.52470099532181
Dig5,2016-02-04,0.772102639838767,14.806312333333358,23.781058172659,0.0,1.0,58.52883356689303
Dig5,2016-02-05,0.7712604772988475,14.769078000000023,24.019946971424808,0.0,1.0,58.59270245858535
Dig5,2016-02-06,0.770195174759925,14.77997166666669,24.35886549847136,0.0,1.0,58.67689349343093
Dig5,2016-02-07,0.7700469556212292,14.744744333333358,24.70561662187376,0.0,1.0,58.7717530899038
Dig5,2016-02-08,0.7707377975801417,14.701133333333358,24.98488027597221,0.0,1.0,58.86165312595831
Dig5,2016-02-09,0.7705957551446913,14.66679266666669,25.41568360835555,0.0,1.0,58.9731998615174
Dig5,2016-02-10,0.7698623809674505,14.639832000000023,25.64716173468056,0.0,1.0,59.08873847256972
Dig5,2016-02-11,0.7694289584434266,14.592406000000024,25.890763456061887,0.0,1.0,59.223312281857
Dig5,2016-02-12,0.7700154286815131,14.528119000000023,26.10457349275437,0.0,1.0,59.32504364888368
Dig5,2016-02-13,0.7696885656173377,14.450668666666688,26.29396557461784,0.0,1.0,59.44248670464013
Dig5,2016-02-14,0.7687104178166161,14.370787666666688,26.43884239345372,0.0,1.0,59.574611412737646
Dig5,2016-02-15,0.7671467648029954,14.30690600000002,26.5384962181594,0.0,1.0,59.73706482072343
Dig5,2016-02-16,0.7661298141843136,14.25314200000002,26.669618768788258,0.0,1.0,59.90002250360647
Dig5,2016-02-17,0.7645105308484914,14.209498666666686,26.697324573522003,0.0,1.0,60.06806514383839
Dig5,2016-02-18,0.7620804444224938,14.176119333333354,27.030823097716,0.0,1.0,60.256646963901
Dig5,2016-02-19,0.7618381365991599,14.14582000000002,27.381838423422163,0.0,1.0,60.36272665212822
Dig5,2016-02-20,0.7605191448598544,14.120469333333354,27.457457163186955,0.0,1.0,60.44248216715224
Dig5,2016-02-21,0.7607650301257883,14.130651000000022,27.80895082673668,0.0,1.0,60.50226551381336
Dig5,2016-02-22,0.7615499459749143,14.132973666666688,28.219725420490708,0.0,1.0,60.6468332610876
Dig5,2016-02-23,0.7612637477636505,14.096617333333354,28.722386799024378,0.0,1.0,60.788196650883286
Dig5,2016-02-24,0.7596972309938168,14.085550333333355,29.01033208428911,0.0,1.0,60.951991557596166
Dig5,2016-02-25,0.7576264925555505,14.079588333333357,28.96832998194778,0.0,1.0,61.09658378587583
Dig5,2016-02-26,0.7553066099766951,14.085496333333358,29.011452026304934,0.0,1.0,61.2712468333845
Dig5,2016-02-27,0.7547455814147198,14.077248000000024,29.08763675404452,0.0,1.0,61.439604806587
Dig5,2016-02-28,0.7545799049233036,14.07296966666669,28.94675233682908,0.0,1.0,61.62004336105228
Dig5,2016-02-29,0.7547483939220442,14.10146933333336,28.96939648803152,0.0,1.0,61.78255753099425
Dig5,2016-03-01,0.7558200103770788,14.119295000000026,28.807753964284974,0.0,1.0,61.95736155465155
Dig5,2016-03-02,0.756672094267818,14.11376433333336,29.24941962412549,0.0,1.0,62.202431503641634
Dig5,2016-03-03,0.7560656144219025,14.102947666666692,29.454396858485183,0.0,1.0,62.45987200419903
Dig5,2016-03-04,0.7571864975146138,14.060134000000026,29.117501215874725,0.0,1.0,62.7287454269184
Dig5,2016-03-05,0.7554732154002889,13.97968033333336,28.99278058684612,0.0,1.0,62.93057674891936
Dig5,2016-03-06,0.7550814871705662,13.911080000000029,28.397719690511547,0.0,1.0,63.096051343017656
Dig5,2016-03-07,0.754805136782461,13.85044233333336,27.90389967779554,0.0,1.0,63.25011722894635
Dig5,2016-03-08,0.7546536894867714,13.789508666666697,27.44953234723026,0.0,1.0,63.39995177150679
Dig5,2016-03-09,0.7534539413958229,13.702306000000029,27.25809970044168,0.0,1.0,63.56013215161562
Dig5,2016-03-10,0.7524785927050117,13.699405000000024,26.901281748569183,0.0,1.0,63.68070847907
Dig5,2016-03-11,0.7527735877870783,13.696173666666692,26.58771546578312,0.0,1.0,63.82155252799117
Dig5,2016-03-12,0.752696106973198,13.691062333333358,26.38315354508525,0.0,1.0,63.932333902216165
Dig5,2016-03-13,0.7536139979154584,13.707021000000026,26.04199682088494,0.0,1.0,64.0555516543901
